A,B
0.030295526496054492,-1.0
0.21246233090920041,-1.0
-0.07030999712646124,-0.08900581983317424
0.08006430971684386,-1.0
0.0884282942976915,-1.0
0.10344568719760616,-1.0
-0.003700952220000442,-0.9520474175609512
0.4262609636228143,-1.0
-0.057962258628011964,-0.24899328065011805
0.0012491115424493326,-1.0
0.29029120179463996,-1.0
-0.004835852391343876,-0.9373427170429781
-0.3192486063248192,3.1364476500429976
0.2252072963775662,-1.0
0.27461719653695793,-1.0
-0.1373437245703376,0.7795383143163899
0.08321218677759701,-1.0
0.17414735310561857,-1.0
-0.04409491885483907,-0.42866994604713615
-0.20473534084393952,1.6527195506470318
0.11579536343322139,-1.0
-0.13985254096320898,0.8120446039824558
-0.16908445501452873,1.1907973370822966
0.013439035599183358,-1.0
0.09132252662297713,-1.0
0.10084498371640249,-1.0
-0.02834516501717066,-0.632736717083544
0.34721124202443954,-1.0
0.22540582542113374,-1.0
0.11674279567406409,-1.0
0.047856753198267876,-1.0
-0.19147384849151028,1.4808927429789773
0.4173672978682723,-1.0
-0.03544831463077669,-0.540702465578589
-0.09320290421056232,0.20761352269368039
-0.08911172175025905,0.15460479614469147
-0.017051009136948347,-0.7790730945160951
0.10583051018757339,-1.0
0.0005004159275108222,-1.0
-0.0792254458097148,0.02651006974098813
-0.005306989201622758,-0.9312382808352151
0.38732408305588817,-1.0
0.39706474007844994,-1.0
-0.01189087025072022,-0.845932100152964
0.2099851455135524,-1.0
0.3043616334091792,-1.0
0.1777704458749645,-1.0
-0.07779040188867059,0.007916459816589283
0.09918565092353493,-1.0
0.142471566624351,-1.0
0.027499305134196073,-1.0
0.02970824148234885,-1.0
0.08470778108401711,-1.0
0.21840504964637097,-1.0
0.09896874201285799,-1.0
0.34173417715606513,-1.0
-0.09463340690457822,0.22614829274377168
0.16579395376810413,-1.0
0.0046736655366710345,-1.0
-0.07913098249446127,0.025286125295642004
0.0595477902763335,-1.0
-0.004743224121117606,-0.9385428851349104
-0.06685846325257883,-0.13372673293604398
0.142472771121271,-1.0
-0.17834192047728392,1.3107446774938838
0.09853031881172791,-1.0
-0.08341245097154837,0.08076035406255255
0.1001131763844818,-1.0
0.2951491436791871,-1.0
0.4135310234235403,-1.0
0.1020270278762998,-1.0
0.1889607902447974,-1.0
0.3552472250625123,-1.0
-0.03829696719579334,-0.5037929788184088
