Date,A,B
0,92.85857188059128,56.62159046810446
1,93.29752819699729,57.48046762376833
2,96.19658011980142,58.99503676754181
3,95.53067927738428,58.96048770300781
4,94.7540122808947,58.67735102356211
5,95.7651922939208,57.942276029377
6,95.50309068099816,58.92189440910685
7,94.08538303983038,58.638964849586905
8,93.30246684320798,58.06401071852731
9,92.82324025995132,57.02375655010399
10,94.76323949719256,58.84981949573758
11,95.6134223402245,58.9153735171679
12,94.09636804851411,58.60077192112346
13,96.9265768736537,60.67207286614536
14,97.16481204194496,61.6165463218258
15,94.85389678877512,61.283701867095864
16,96.58777314758261,62.28663425326115
17,95.79903349365716,62.1673614491836
18,95.52950423078195,62.51544235513398
19,95.65558354030564,62.958796904825206
20,95.52945785913911,61.72325304442677
21,97.30473585878815,61.68263670105721
22,99.00210235787955,63.10137465350387
23,98.9074485845415,60.84513163459552
24,97.84673453910024,59.804668682106566
25,97.09320492090504,58.252105859613714
26,99.14627100269887,58.566601205267766
27,99.57596080983409,59.85938231936252
28,100.3929852954966,62.27493327076079
29,100.79601003128558,63.370261037549284
30,99.87885422878408,62.26179499506651
31,100.86202383150166,64.1426317181241
32,102.26280209674617,65.40557972652049
33,103.14036833225026,65.63258672661091
34,102.82787502838067,66.41607999272689
35,100.52566022727777,65.37209838544597
36,101.4085410994521,64.88618259465301
37,101.28192926939431,65.02361300698573
38,99.57074674330568,67.05526667227329
39,101.8762849039663,67.69199969844739
40,101.72765764858902,67.9456037305604
41,99.21484786688274,66.36142335280115
42,98.59393454972108,66.78482138260303
43,98.18814720331608,67.22792517067502
44,100.24813672522787,69.05039931038482
45,100.24093739184926,68.2262314337301
46,99.56822958254405,66.80346974545405
47,101.47666561500549,67.67797444527092
48,98.1165629093982,67.56968243537932
49,98.86529556220454,66.8162842409432
50,97.93398055891875,66.69182653812148
51,97.82275576056027,67.23105013790591
52,98.06919458781528,66.3393517849193
53,96.46513349857202,66.3818061234701
54,97.87808713824104,67.89316069492241
55,97.41851877347942,68.69434957692017
56,94.15540562294079,66.69352575632017
57,95.8252150491232,66.57607344761473
58,96.28076793864031,67.07521416917366
59,95.99103556509064,67.63296972018428
60,96.4512982669243,68.58306027274551
61,96.94968960027502,69.95622836857423
62,96.94453858362168,70.5290335873354
63,97.0673905910039,69.91719681434725
64,98.5973651880328,70.38298393141169
65,97.65005724588009,69.70144994539402
66,95.40372963897795,68.9419107074463
67,96.28362290125287,69.13254619682175
68,97.54482362032834,68.93486895222168
69,95.71653152744959,66.79277628506722
70,95.72742845924384,68.04179146835229
71,96.9618056727573,67.95644030671978
72,95.96378579783918,69.12513901192789
73,95.54986947832823,68.83262447156118
74,96.25015394831098,71.11415870733607
75,95.02953321618614,71.71126513854311
76,92.39133515142402,70.70991882735443
77,90.97736595316462,69.11906020951633
78,90.99707154816599,69.82697962966657
79,89.83564819840478,69.63653038009977
80,89.57864427148765,68.75962556562213
81,90.99214694855885,69.21698293509014
82,89.792018323329,68.23493380529473
83,88.92065359703766,68.66358275009965
84,91.44032386704461,69.96128090664087
85,90.79396266418468,69.15095474889962
86,91.82157148268482,68.82228971214536
87,94.04250010490738,69.02005892763303
88,93.6204518424055,70.5275057675949
89,92.58983730929027,71.3529024656585
90,95.54941416359812,72.5828311207117
91,95.81104469471818,74.51291807269695
92,96.01692364661098,73.17959958811579
