x1,x2,x3,x4,x5
0.3781719296484295,0.5083126615610737,,0.6105376989003437,
0.8584775942765137,0.7581423034501604,,,
-0.2189535522411616,-0.015334097294565691,-0.26188033059085347,,-0.23014844910392485
-0.3704419439099324,-0.4247023188705309,-0.5353122899565,,-0.22623301277061783
0.7177321902821876,0.6641954460290933,,,0.9141065503384844
1.331701157210392,,1.4649340580507146,1.1566752561044864,1.3978271942494116
1.4623554055294687,,1.3969490922945167,1.4768539070208815,
0.5609678270526113,0.5702525422683308,0.6221155382506659,0.5703090391737412,0.41739570111195623
,1.343589046612334,1.5787965763917893,1.5761278167719266,
,,-2.8419255331245,-2.8459419003148496,
1.6916249358264133,1.5955621147306733,1.6777620354436773,,1.7659459977544587
2.727459194962327,,2.8657207540805327,2.686210222774799,2.645744800242415
,1.043522994804357,1.0468664796733156,1.0569813158222097,1.0579730070888673
-0.12918245595389952,-0.1620829508858023,-0.015322039635573315,,
0.7026113493237242,,,,0.47817493119519217
3.1855881404282824,3.41504288839855,,3.2564987185220953,
-1.9761074537952033,-2.048592554633984,,-1.932539078837291,-2.036938128349457
0.7008450251345868,0.9306042836887809,,0.8564058687767198,0.7545737380156459
,-0.7142350765312667,-0.4347691242919703,-0.4726902956026195,
,1.4782621587501372,1.286819893841387,1.2987809956824676,1.3966775557677076
,0.0052527750198028645,-0.017924295767793412,,
0.8047346712866396,0.9619877868106392,1.0106091781952666,0.8793153205828103,1.037638384077162
-2.6796655844264086,-2.7509179320015757,,-2.7541611531786705,-2.628937168949104
,0.32002843129243647,0.4324350196905044,0.4130420507449206,0.4759274005876245
,0.5930068926224266,0.5001460860226061,,0.5300379666766569
-0.7263302940957626,,-0.6569052626640545,-0.7280377574158,-0.6951614498339178
-1.8403082765192413,-1.790355729156462,,-1.8008132388495914,-1.665218753995002
-0.8251243559683569,-1.0283962492864476,-1.1088895377888277,,-0.8235798201643509
1.0315766198934258,0.9236218883647792,,1.1468884365465981,
-0.12653311058986041,,,-0.1112503073768011,0.11436705729430444
,,-2.3340125698600085,,-2.2615297077991188
0.7784274877305104,0.626604357299238,0.7454322986749862,0.6879998730921432,0.6142455433453766
,,1.1053987933903413,1.135874915035516,1.0909459042927725
0.9318056851279426,1.2422722615824684,1.0994528506164087,1.0222451115076923,1.0080709441022782
0.9054424222464343,0.771030884683487,1.0708133747712258,0.8092762350864139,0.8467706768903193
1.8885830894108455,1.745462804789155,1.9803593764489222,2.1603387508850576,1.9220856534452864
0.21905359308398764,0.4877892143709147,0.37268164887245003,,0.3852316845622613
0.8337498265718499,0.7238687274673853,,0.7109821945841167,0.6492663901696577
0.8379779975661209,0.8478832360714603,0.6756015694752737,0.7410100890064801,
,,1.1447407319035927,0.959423775562089,1.1646118292934917
,-0.3824209889975082,,-0.5250015341173895,-0.3681448660310074
2.027144052123204,1.9393980145283927,,2.085853108539424,1.9412734919773365
-0.0890296773435471,0.001193064056668124,-0.08425824472206841,,0.04243281276773564
0.2505742868369491,0.1896521000451511,0.16479702200317492,0.238004556498496,0.19823286257290268
-0.9777558127364265,,,-0.6147028983524689,-0.8426027186923924
-0.38871205037892254,-0.31907566855312125,-0.2253694756130783,-0.08038402942957432,-0.3960240783229423
-0.44788963498694667,-0.40711856533499724,-0.23490453717925264,,-0.5068685474560852
,0.37716896493301666,0.5645820583905227,0.4803115136081737,
-0.36464994856424354,-0.21725744224195198,-0.387830616092985,,-0.34522036380371823
1.1196087234987229,1.007475233812738,0.9011567342535441,0.9436200975855049,
