S1,S2,S3,F1,F2
-0.03740339555611018,-0.019968281521924498,0.004681158395586646,0.00459612467925071,-0.08026187626410829
0.027965732222288594,0.004546152923219418,0.0011681938989349166,-0.0010125427800379873,0.05570465355793571
0.004929018467971989,0.023591785435951595,0.025541982399397013,0.03861804708962613,-0.05652492639354383
0.05519980335700907,0.0446974915211313,0.024169441668963183,0.04805160290383163,0.03621352042644942
-0.008014798483793873,-0.018854179446639658,-0.002613652710770649,-0.009126031822150674,-0.009310352407908902
0.0369670934636935,0.03600703355820936,0.021176280155888745,0.02180357230330679,0.03559862391559486
-0.05852709551039463,-0.031092545396686423,0.000658102187376091,-0.005735447082281002,-0.12578423609560965
-0.02600604525148816,0.006297980967369032,0.009342377295944636,0.01592139684655604,-0.08755853622136403
0.09133291444804584,0.0511480340949277,0.006744087918758474,0.021259877131737243,0.15267525651034763
0.03649160975479318,0.056865640451287024,0.03418957854883003,0.05847060356020001,-0.009845515215476882
-0.04487413506822255,-0.023749622669074755,-0.007605765712530201,-0.022382240885246804,-0.044324303118000424
0.040144282448168096,0.026214414926114392,0.012027872351987563,0.01001800868660346,0.047149670086647645
0.02316673966426393,0.02343683601527424,0.018338838437326217,0.03485739575467033,-0.014095783265671086
0.03932999943734243,0.023972240540803807,0.015180109274961356,0.01892506236554628,0.025404195876164107
-0.026693289457765213,-0.012483034921645902,0.0006806068552852448,-0.004710874350237297,-0.04920088039865551
-0.044111857977984545,-0.030882652761580105,-0.021777663691261384,-0.015380882062109497,-0.05411964407050861
-0.07132201236076745,-0.03630925580453923,-0.013163953200072305,-0.025007031917177253,-0.10909320872188584
-0.0008035814314263502,0.0037771732801784156,0.003856597594969032,-0.0036190853136236914,0.002712413751128069
0.00011650270986907942,0.0027164992772342575,0.00842911124095298,0.0032379738382898844,-0.012590756302945531
0.04709251873304698,0.043970141767274734,0.021598756850330213,0.03402271840759597,0.06551278897938728
-0.04793553563794188,-0.02713515680613785,-0.022845677767452863,-0.02542663958730329,-0.048638465404040876
0.03643276341489876,0.048424700279595605,0.028021026022162842,0.04972626618028868,-0.020301676509288484
-0.023410398106225857,-0.012252795927515995,0.0011976261787790916,-0.019715140490582036,-0.025857276899299123
0.046330433855327376,0.023941950074872865,0.010305650551870126,0.00043733203127760845,0.07840022429228509
0.002407333762855039,-0.013701949038498331,-0.0016886671894732067,-0.02806822208357236,0.05076469375499893
0.010155121286425723,-0.008847795212892123,-0.010580968144150361,-0.023002230374327724,0.0383183768418758
0.0274074908600268,0.012317079244019282,0.017447025281998815,0.015131868028184094,0.01055207107537632
0.030577836273140296,0.025493538590930617,0.013091897957644979,0.023892338886832336,0.008581916974243015
0.0794142745589195,0.04697530335911519,0.01930338829468311,0.03101330795006762,0.10798155640501364
0.03882987523486321,0.03921458274466631,0.010040316660587922,0.02458386883296776,0.031864329293658664
0.026691737147776725,0.022961246448349803,0.022991024532107555,0.035254770653632396,0.007523423810934263
0.005424445203347908,0.003931578683131652,0.0032694638103760473,0.006415218452655549,0.0009656021952507768
0.024241099301527316,0.009146643116313725,0.010080076676174943,0.004954658035188449,0.05204653733092647
0.011619742443946413,0.037346933531824555,0.02758110494535029,0.0589440060278224,-0.08437030162497273
0.042021289791355484,0.03353286185515388,0.02330033930036606,0.030790839804390773,0.014645434134336978
