S1,S2,S3,F1,F2
-0.018011228087429436,0.011158171434038473,0.017377902625341553,0.03671421226700891,-0.09671520759429557
-0.05726801320641564,-0.04030561064043474,-0.02217052063936107,-0.03930512884437576,-0.06315328572207204
0.032023402458512734,0.03419908628419056,0.023488154846291357,0.03127901504228973,0.012046397797741908
-0.025142669207666137,-0.02790768241883677,-0.009883478854976308,-0.02086960403036449,-0.025019180939640832
0.03139109127031385,0.00728333331444091,0.009339749090062419,-0.012795444678016157,0.048813891682769964
-0.01707280597906187,-0.03050518587487017,-0.015406695859860698,-0.028067514113138868,0.009046886909396583
-0.00829144932889039,0.014472194307517228,0.012703268391485258,0.008803362068257103,-0.023889972856232292
-0.00915170153706301,0.023188032637589652,0.028969311106430945,0.03668267121038217,-0.08469884901752654
0.05634683906270127,0.04497199313831185,0.007676572195308337,0.027581814622771938,0.07819701073472864
0.02456363873418639,0.02327395303653822,0.008818262420030008,0.0023176935165911882,0.033122586792156156
