A,B,C
0.004781719296484296,0.021224962446617205,0.12531104621657818
0.006931595787687625,-0.0026602137376241547,0.03907232742442544
-0.005504021555081313,-0.00540285702004138,0.04666987037362711
-0.01357261756389119,-0.017365004333684972,0.0785716228230986
-0.010875700617088806,-0.005402363951063805,-0.025212628688890074
-0.002704419439099324,-0.009821442760105607,-0.0550476878082212
0.017719944115790635,0.043697127328656826,0.03261612108679606
-0.0022863323179151515,-0.024271656526751687,0.014960287762493016
0.02506221522752407,0.04812795587539075,0.002578991285280832
0.011848119556975414,-0.02110720693507347,0.02398880810649381
0.015623554055294687,0.022820535326892415,-0.03755794976761179
0.0032976401895694193,-0.0006008407065441776,0.02706220767828577
0.002055835560239815,0.010455894053027794,-0.0033667876458681216
-0.013498049197458149,0.012252095412263082,-0.03260497302680014
0.014955057657663723,0.03166747312424451,-0.006990858939983435
-0.02608326918876832,-0.04094330770193099,-0.02871234913437972
-0.005160897421827257,-0.033614082962776494,0.08335373071424444
-0.004610551714554043,0.00139467325195944,0.07925775507430508
0.007564029944719931,0.054805008957176514,0.0215419540342985
0.012685491926616815,7.737025278354345e-5,-0.05294711605959354
0.0088748969263545,0.041278027602783415,0.05764373905921958
0.009742502020339487,0.02163335011552108,-0.007805360472331165
-0.0014238292643123248,0.01691675325103539,-0.08368833633647624
-0.0007593011032164818,0.011410284446815668,-0.044657607284590825
1.1742310059960695e-6,0.003824030362853342,-0.06499235371692759
0.032855881404282826,0.06494007772630404,-0.026392268142553698
-0.000167119554996603,0.005995253663510719,-0.09553383778866532
-0.00553915799584685,-0.014210871438278743,0.041573544582770613
-0.0022925948092709495,0.009846397108378962,0.08802820739633128
0.012178172709681304,0.012078662740920232,-0.050074331054335244
-0.0043687272031429,-0.026804783358299642,0.07610065564221617
0.002620841057600134,-0.04326059242853037,0.06238260656970085
0.007104842082556215,-0.013866592378549362,-0.04297577465779585
0.003917034213333524,0.002343345483689075,0.03279665099748398
0.0030153905936423416,-0.016684256528445,-0.06827902115807863
0.009047346712866396,0.029343239364545103,0.053805119577327795
-0.00275625129749446,0.016734307133878877,-0.12696050788331834
-0.005950509569383295,0.018623287301611696,-0.03884452251068795
0.004803198473667657,0.010996398519991395,-0.011825861512193992
0.00879108907574402,0.015435029353806633,0.04092072608583268
0.005133827888735757,0.022783225140169696,0.0016635505545718363
0.007327705258372896,0.009083644658006533,-0.037944788210194653
0.013609586702298237,0.009882642864935402,-0.044100251208597674
-0.0020164746793216947,-0.0338915490445301,0.00830333660922433
0.008378271399699431,0.004686881461397592,0.04874039213386302
-0.007251243559683569,-0.03322244062304055,-0.07501155175110223
0.0010910766959090702,0.025933139035960926,0.056328623594930405
-0.005921442739869343,-0.0201837277155081,0.09144658940490227
-0.002450604338456838,-0.0046422221022705355,0.03147991493011233
0.023130775325256366,0.005558422134444604,0.0481990111483917
-0.021209500356150417,-0.01761811268200106,-0.04810373391641754
-0.00925058510580435,-0.008950456902459405,0.044836341743343916
-0.009210643749311784,-0.002636593392732743,-0.004165752142950629
-0.007372428512858051,0.014492233300080027,-0.0019364861708293843
-0.00955149188563115,-0.017917305900997216,-0.0336759315558394
0.010318056851279424,0.04958179817059172,0.010140194299164396
-0.004654933626873436,-0.014443326122488956,0.04716536222520521
-0.007886330156116807,0.025628767889434214,-0.0334692524343156
-0.0025902768389276304,0.030120941812822172,-0.03549218309952411
0.015093696455954445,-0.006563586545156565,-0.017078737734898552
0.0031905359308398765,0.0364553443228716,0.013986580569976533
-0.013767134789509305,-0.003059271292749249,0.05157685341404448
-0.0061982350123455775,-0.004036800950091776,-0.02472538512140258
-0.009154239336779342,0.005359965337314161,0.014933755405434752
-0.012327672132693885,-0.018855819237529346,-0.0026936019571318732
0.011002618154868977,0.01985698992301193,0.04561131303564053
-0.00819360166864453,0.01125920739504651,-0.020027741918587624
0.014680568030268463,0.043723701466812655,-0.049954633050883976
0.007392965045265378,0.04250412997064979,-0.020100385262922633
0.007803566168077046,0.020542293578895702,-0.03620718224794049
0.00010970322656452902,0.011078103931089552,-0.013188624352561233
-0.013714861141943688,0.008282817870997276,0.02446861969843702
-0.003141031916074185,-0.010813923143018562,0.01771562833408985
-7.297962074549877e-5,-0.017008207071298412,0.06444798204701956
0.01529250546999356,0.04564819828660609,-0.03488197865462512
-0.0028871205037892256,0.005185693883181761,0.05572986068279202
0.020894417712579307,-0.001307556305583487,-0.03489222206290933
0.0035726839542749764,0.03052915133112014,0.09063933034719478
-0.016434451958962638,-0.011725054768208978,0.04852240493475448
0.02074962139211211,0.032322426218932825,-0.03148151924057144
-0.0026464994856424356,-0.018332372770529994,-0.03970268875679527
0.0011670393821372144,-0.002480659658552655,0.05591451136306572
-0.006155262747987459,-0.02838281125441237,-0.019127630315343983
0.010336769309469925,0.020114155818206844,-0.020896377303651653
-0.0028565232106272584,0.00198050467000752,-0.05540745452480839
